Q1gen,Q2age,Q3edu,Q4lon,Q5fPo,Q6fRe,Q7noC,Q8noT,Q9_1pPo.sel,Q9_2pPo.pub,Q9_3pPo.edi,Q9_4pPo.rev,Q9_5pPo.pFb,Q9_6pPo.del,Q10_1emo.edi,Q10_2emo.rev,Q10_3emo.pFb,Q10_4emo.0Fb,Q10_5emo.nFb,Q10_6emo.del,Q10_7emo.Re.ing,Q10_8emo.Re.ed,Q11_1iMa.awa,Q11_2iMa.lik,Q11_3iMa.fri,Q11_4iMa.des,Q11_5iMa.com,Q11_6iMa.ski,Q11_7iMa.int,Q11_8iMa.sat,Q11_9iMa.pro.self,Q11_10iMa.pro.fri,Q12_1att.des,Q12_2att.eas,Q12_3att.dis,Q12_4att.dem,Q12_5att.p.a,Q12_6att.p.fri,Q12_7att.n.dis,Q12_8att.n.fri
2,2,2,1,2,1,5,3,61,50,63,64,63,50,3,4,5,3,2,3,3,3,4,4,4,4,3,4,4,3,3,3,4,3,3,3,3,3,4,3
1,2,2,2,3,1,2,2,5,50,65,40,100,0,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3
2,2,1,2,2,1,4,2,54,55,98,85,94,27,4,4,4,3,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,2,2,2,3,1,6,2,80,0,0,0,75,20,,,4,2,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3
1,2,1,3,1,1,3,1,0,25,70,85,100,60,2,3,4,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
2,2,1,2,3,1,3,2,100,76,50,30,78,10,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,1,1,2,1,7,3,94,5,85,76,82,70,4,3,5,3,3,2,3,3,4,4,4,3,3,5,5,5,4,3,4,4,2,4,4,3,3,3
2,2,1,2,3,1,3,2,1,75,20,40,25,10,4,1,5,3,,,4,4,5,5,5,3,3,3,3,3,1,3,4,3,2,5,5,3,3,3
2,2,1,2,3,1,5,2,91,10,23,19,71,18,3,3,4,,2,3,4,3,4,4,4,3,3,3,3,4,3,4,4,4,2,4,4,4,2,2
2,2,1,2,2,1,2,3,0,100,16,31,67,5,,3,4,4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,4,4,3,3,3,4,4,4
1,2,1,1,3,1,2,1,100,60,80,50,100,30,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3
2,2,1,1,1,1,9,2,37,37,90,66,67,11,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,2,4,2,3,4,4,3
1,2,1,1,4,1,8,2,51,50,50,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,1,2,1,1,7,2,0,50,100,100,100,0,5,5,5,3,3,,3,3,4,3,3,3,3,3,3,4,3,1,3,3,3,3,3,3,3,3
1,2,1,2,3,1,9,2,50,50,13,73,80,33,,4,4,3,2,3,4,4,4,4,4,4,3,4,4,4,4,2,4,2,3,4,4,3,3,2
2,2,1,2,3,1,4,2,80,29,70,70,70,70,4,4,5,3,3,3,4,3,4,4,4,4,3,3,3,3,3,4,4,4,2,4,4,4,4,4
1,2,1,1,5,1,4,1,0,0,100,100,100,0,3,3,3,3,3,3,3,3,3,5,5,3,3,3,5,5,3,3,5,5,3,3,3,3,3,3
2,2,1,2,3,1,7,2,0,59,50,50,78,9,4,4,4,3,2,2,3,3,3,4,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3
2,2,1,1,4,1,7,2,80,100,80,81,80,0,4,4,5,2,2,2,3,3,4,4,4,4,4,4,4,4,3,3,4,4,2,4,4,4,4,4
2,2,1,1,2,1,4,2,20,80,100,100,100,20,3,4,5,3,2,3,3,3,5,5,5,4,4,3,4,3,4,4,5,5,4,2,4,4,3,2
1,2,1,3,3,1,7,2,1,80,70,40,70,0,3,4,5,3,3,,4,4,4,5,4,5,3,4,5,3,3,4,5,4,3,4,4,4,3,2
2,6,4,5,1,2,1,2,50,50,53,50,50,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,1,2,3,1,4,2,12,50,61,75,82,79,4,4,,1,1,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,2,4
1,2,1,1,2,1,5,2,50,50,50,50,50,50,5,5,5,2,1,,,,4,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4
2,2,1,3,5,1,1,2,81,90,0,0,73,0,3,3,3,3,1,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,2,3,3
2,2,2,3,4,1,8,2,3,96,93,79,91,15,3,4,5,2,2,3,3,3,4,4,4,3,3,3,4,4,4,3,4,4,2,3,4,4,2,2
2,2,2,2,3,1,3,2,10,88,90,85,89,10,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,2,4,3,1,3,2,50,30,30,31,50,0,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3
2,2,2,2,5,1,6,2,50,66,69,50,50,11,2,2,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
2,2,2,2,3,1,8,2,82,54,75,63,61,25,3,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4
1,2,1,2,3,1,4,1,0,0,69,70,79,72,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,2,3
